Company,Symbol,Market_Cap,Total_Debt,Total_Asset,Cash_Flow,Cash_to_Market,Pomoters_Stake_Pledged,Net_Profit,Sector
3i Infotech,3IINFOTECH,583.65,788.24,1212.0,16.71,2.86301721922385,True,56.79,Computers - Software
3M India,3MINDIA,13048.33,5.72,1014.37,370.88,2.8423560716198932,False,42.43,Diversified
63 Moons Tech,63MOONS,347.89,509.11,3253.29,45.57,13.098968064618127,False,0.14,Computers - Software
8K Miles Soft,8KMILES,1853.33,2.72,66.34,3.02,0.1629499333631895,False,0.84,Finance - Investments
Aarti Drugs,AARTIDRUGS,1383.71,432.59,782.9,4.5,0.32521265294028373,False,16.34,Pharmaceuticals
Aarti Ind,AARTIIND,6288.37,1217.04,2287.14,0.0,0.0,False,73.84,Chemicals
Aarvee Denim,AARVEEDEN,174.54,347.95,611.83,4.66,2.66987510026355,False,-10.78,Textiles - Denim
Aban Offshore,ABAN,1313.51,650.92,4184.97,48.07,3.659659994975295,False,63.5,Oil Drilling And Exploration
ABB India,ABB,27116.86,600.0,3608.55,571.55,2.107729287240484,False,146.79,Infrastructure - General
Abbott India,ABBOTINDIA,9857.23,0.0,1107.62,140.19,1.4222048181892886,False,85.56,Pharmaceuticals
Aditya Birla F,ABFRL,11850.3,1475.91,2419.61,20.32,0.17147245217420656,False,-12.4,Retail
ABG Shipyard,ABGSHIP,202.86,8730.67,5908.45,53.73,26.486246672582073,False,-720.76,Shipping
AB Nuvo,ABIRLANUVO,19993.31,3635.7,12194.92,59.27,0.29644916224477086,False,65.59,Diversified
ABM Inter,ABMINTLTD,1.0,0.0,0.0,9.99,0.0,True,0.0,Miscellaneous
ACC,ACC,27156.86,50.02,8711.46,1808.89,6.660895258141037,False,48.28,Cement - Major
Action Const,ACE,702.18,106.39,442.76,13.51,1.9240080890939646,False,4.83,Engineering - Heavy
Adani Enterpris,ADANIENT,11905.44,6032.02,9592.32,79.25,0.6656620838877018,False,-25.14,Trading
Adani Ports,ADANIPORTS,70412.36,13382.3,27010.68,699.87,0.993959015150181,False,744.34,Infrastructure - General
Adani Trans,ADANITRANS,7077.28,5217.25,7466.07,2.33,0.03292225261682454,False,7.84,Miscellaneous
ADF Foods,ADFFOODS,385.32,5.64,195.01,5.66,1.4689089587875013,False,3.8,Food Processing
Adhunik Metalik,ADHUNIK,85.83,2073.52,2557.14,8.29,9.65862751951532,False,-89.05,Steel - Sponge Iron
Adhunik Ind,ADHUNIKIND,493.12,65.69,168.38,7.17,1.4540071382219337,False,0.23,Steel - Medium / Small
Adlabs Ent,ADLABS,633.59,1004.31,1620.35,18.42,2.9072428542117144,False,-22.77,Miscellaneous
Advani Hotels,ADVANIHOTR,259.06,4.65,42.37,0.92,0.3551300856944337,False,3.36,Hotels
Advanced Enzyme,ADVENZYMES,4599.27,45.06,219.89,1.53,0.033266148758389916,False,7.96,Pharmaceuticals
Aegis Logistics,AEGISCHEM,6491.29,79.94,501.96,29.68,0.45722807022949213,False,12.47,Transport & Logistics
Agarwal Ind,AGARIND,573.2,37.08,88.54,3.05,0.5321004884856944,False,1.34,Transport & Logistics
AGC Networks,AGCNET,256.77,138.01,210.02,4.6,1.7914865443782373,False,-6.38,Computers - Software
Agri-Tech,AGRITECH,23.46,0.02,35.16,0.03,0.1278772378516624,False,-0.18,Fertilisers
Agro Phos India,AGROPHOS,1.0,0.0,0.0,0.0,0.0,True,0.0,Diversified
Asian Hotel (E),AHLEAST,325.19,7.28,860.34,4.95,1.5221870291214368,False,4.54,Hotels
Ahluwalia,AHLUCONT,2078.94,133.02,555.12,36.26,1.7441580805602854,False,24.45,Construction & Contracting - Civil
Asian Hotel (W),AHLWEST,260.1,155.62,437.52,3.33,1.2802768166089964,False,2.91,Hotels
AIA Engineering,AIAENG,14666.82,136.32,2151.82,34.95,0.23829296330083827,False,83.28,Engineering - Heavy
Ashapura Intima,AIFL,768.27,31.17,96.77,0.2,0.026032514610748826,False,2.58,Textiles - Readymade Apparels
Airan,AIRAN,1.0,0.0,0.0,0.0,0.0,True,0.0,Computers - Hardware
Ajanta Pharma,AJANTPHARM,15532.88,59.87,1184.66,31.07,0.2000272969339878,True,170.98,Pharmaceuticals
Akash Infraproj,AKASH,1.0,0.0,0.0,0.0,0.0,True,0.0,Miscellaneous
AksharChem,AKSHARCHEM,532.09,28.74,113.74,0.58,0.10900411584506378,False,17.56,Dyes & Pigments
Aksh Optifibre,AKSHOPTFBR,346.48,66.7,512.37,3.17,0.9149157238513045,False,1.99,Cables - Telephone
Alankit,ALANKIT,335.95,0.0,33.43,5.96,1.7740735228456617,False,3.61,Finance - General
Albert David,ALBERTDAVD,181.86,20.23,157.05,21.72,11.943253051798086,False,-1.64,Pharmaceuticals
Allahabad Bank,ALBK,5458.68,215451.44,235828.39,19856.15,363.7536913686093,False,75.26,Banks - Public Sector
Alchemist,ALCHEM,31.39,722.65,747.97,3.11,9.907613889773813,False,0.26,Miscellaneous
Alembic,ALEMBICLTD,978.67,0.0,289.34,2.34,0.23910000306538468,False,0.69,Pharmaceuticals
Alicon Castallo,ALICON,547.85,150.69,302.1,5.45,0.9947978461257643,False,4.74,Castings & Forgings
Alkali Metals,ALKALI,76.22,20.35,70.51,1.52,1.9942272369456835,False,0.89,Chemicals
Alkem Lab,ALKEM,26387.4,353.72,3910.42,7.47,0.028308965642693102,False,213.71,Pharmaceuticals
Alkyl Amines,ALKYLAMINE,919.06,97.94,297.41,3.95,0.42978695623789526,False,16.89,Chemicals
Allcargo,ALLCARGO,4146.11,76.62,1438.32,15.59,0.3760151081375072,False,22.05,Transport & Logistics
Almondz Global,ALMONDZ,45.82,18.76,140.38,5.04,10.999563509384549,False,0.21,Finance - Investments
Alok Industries,ALOKTEXT,409.06,18610.01,20258.24,18.57,4.539676331100572,False,-856.76,Textiles - Weaving
Alpa Labs,ALPA,85.85,24.23,118.52,15.36,17.891671520093187,False,3.15,Pharmaceuticals
Alphageo,ALPHAGEO,548.33,2.4,78.85,0.37,0.06747761384567687,False,11.5,Oil Drilling And Exploration
Alps Industries,ALPSINDUS,25.23,787.36,407.41,4.9,19.421323820848198,False,-17.5,Textiles - General
Amara Raja Batt,AMARAJABAT,15185.23,72.47,2174.11,78.43,0.5164887196308519,False,112.32,Auto Ancillaries
Ambika Cotton,AMBIKCO,759.71,19.71,354.75,4.78,0.6291874531071067,False,14.41,Textiles - Spinning - Cotton Blended
Ambuja Cements,AMBUJACEM,47417.21,22.68,10329.55,5031.71,10.611569090631862,False,175.88,Cement - Major
AMD Industries,AMDIND,56.25,73.44,196.38,2.53,4.497777777777777,False,-5.49,Packaging
Amrutanjan Heal,AMRUTANJAN,865.23,0.0,120.48,42.27,4.885406192573073,False,9.65,Pharmaceuticals
Amtek Auto,AMTEKAUTO,746.19,8037.14,12464.99,65.63,8.795347029576916,False,-241.56,Auto Ancillaries
Anandam Rubber,ANANDAMRUB,1.0,0.0,0.0,-0.1,0.0,True,0.0,Rubber
Anant Raj,ANANTRAJ,1409.08,1008.32,5088.4,5.08,0.36051892014647857,False,18.16,Construction & Contracting - Real Estate
Andhra Bank,ANDHRABANK,3943.94,184017.99,199961.75,8972.35,227.49712216717293,False,56.7,Banks - Public Sector
Andhra Cement,ANDHRACEMT,265.05,895.84,971.9,8.33,3.1428032446708167,False,-24.55,Cement - Major
Andhra Sugar,ANDHRSUGAR,834.9,287.58,842.68,24.59,2.945262905737214,False,38.67,Sugar
ANG Industries,ANGIND,14.72,126.49,202.45,2.81,19.089673913043477,False,-6.88,Auto Ancillaries
Anik Industries,ANIKINDS,76.18,121.46,387.39,12.16,15.962194801785245,False,0.83,Edible Oils & Solvent Extraction
Ankit Metal,ANKITMETAL,23.99,1195.03,1184.94,1.24,5.168820341809088,False,-99.1,Steel - Sponge Iron
Ansal Propertie,ANSALAPI,238.47,417.21,2103.58,24.34,10.20673459974001,False,0.22,Construction & Contracting - Housing
Ansal Housing,ANSALHSG,143.12,440.83,879.98,32.8,22.917831190609274,False,0.65,Construction & Contracting - Housing
Antarctica,ANTGRAPHIC,1.0,0.0,0.0,0.37,0.0,True,0.0,Printing & Stationery
Apar Ind,APARINDS,2882.83,324.31,1088.77,89.45,3.102853792974265,False,43.29,Rubber
Apcotex Ind,APCOTEXIND,664.55,16.88,130.06,3.83,0.5763298472650666,False,5.15,Rubber
Alembic Pharma,APLLTD,11799.21,0.0,1530.28,284.81,2.4138056700406216,False,137.83,Pharmaceuticals
Apollo Hospital,APOLLOHOSP,16167.73,2101.96,5532.09,255.76,1.5819165708482268,False,72.83,Hospitals & Medical Services
Apollo Tyres,APOLLOTYRE,10620.8,586.3,4582.72,285.14,2.68473184694185,False,185.46,Tyres
Aptech,APTECHT,917.75,0.0,215.96,6.49,0.7071642604195042,False,3.07,Computers - Software - Training
Archidply Ind,ARCHIDPLY,156.0,45.54,168.9,8.04,5.153846153846153,False,2.02,Miscellaneous
Archies,ARCHIES,78.37,14.19,124.91,2.85,3.6365956360852363,False,0.14,Printing & Stationery
Arcotech,ARCOTECH,1101.45,291.55,491.03,21.88,1.9864723773208044,False,7.81,Miscellaneous
Aries Agro,ARIES,201.18,119.85,259.02,9.17,4.558107167710508,False,5.58,Miscellaneous
Arihant Found,ARIHANT,42.48,123.07,285.0,5.26,12.382297551789078,False,0.27,Construction & Contracting - Housing
Arihant Super,ARIHANTSUP,489.39,29.8,114.5,-0.94,-0.19207584952696213,False,3.1,Finance - Investments
Arman Financial,ARMANFIN,129.49,32.18,67.84,0.0,0.0,False,0.59,Finance - Leasing & Hire Purchase
Arrow Greentech,ARROWGREEN,492.02,0.0,27.48,5.52,1.1219056135929435,False,1.76,Plastics
Arrow Textiles,ARROWTEX,83.7,4.42,37.74,0.07,0.08363201911589009,False,0.37,Textiles - Weaving
Arshiya,ARSHIYA,1037.03,316.76,547.02,3.96,0.38185973404819534,False,-31.64,Transport & Logistics
ARSS Infra,ARSSINFRA,101.82,1677.85,2059.96,76.0,74.6415242584954,False,-206.91,Construction & Contracting - Civil
Art Nirman,ARTNIRMAN,1.0,0.0,0.0,0.0,0.0,True,0.0,Construction & Contracting - Civil
Arvind,ARVIND,10174.18,2657.29,5671.77,16.59,0.16305982398581506,False,71.65,Textiles - Denim
Asahi India,ASAHIINDIA,5275.05,1050.37,1444.48,36.65,0.6947801442640353,False,25.87,Glass & Glass Products
Asahi Songwon,ASAHISONG,342.58,42.66,178.67,0.81,0.23644112324128672,False,6.49,Dyes & Pigments
